Algoritmo,Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
AG,sphere,0.0000008911,0.0000135868,0.0000043776,0.0000032594,0.0000038669
AG,ackley,0.0067471352,0.0415887503,0.0186967536,0.0156254345,0.0099593797
AG,griewank,0.0694523470,0.3513631375,0.1786453429,0.1552359672,0.0885038803
AG,rastrigin,8.5304762603,17.1062733285,11.5129287901,10.7262640626,2.9893219492
AG,rosenbrock,2.6053113627,88.5451058102,26.1164908176,8.8441405322,29.4685435606
BusquedaAleatoria,sphere,4.0463862398,14.4471094266,10.5916741096,10.4430019974,3.1941906365
BusquedaAleatoria,ackley,14.8679758789,16.9581010376,16.0234466302,16.2717435789,0.6492673847
BusquedaAleatoria,griewank,18.7544213082,48.8498103581,38.3081754433,38.6525676645,8.1825383800
BusquedaAleatoria,rastrigin,57.0133471409,76.1246018042,69.3080260800,72.1595291981,5.6806496541
BusquedaAleatoria,rosenbrock,113.3501273910,321.3735807172,217.0861156451,223.7868587087,56.8336053260
